City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Davila,PH,2021-11-08 01:30:16,18.4726,120.5763,85.98,70,9,1.28
68,Lebu,CL,2021-11-08 01:26:35,-37.6167,-73.65,53.01,93,50,10.31
69,Kirakira,SB,2021-11-08 01:27:49,-10.4544,161.9205,86.68,63,2,8.84
70,Port Hardy,CA,2021-11-08 01:30:16,50.6996,-127.4199,41.0,87,90,8.05
71,Kolokani,ML,2021-11-08 01:30:16,13.5728,-8.0339,79.36,37,2,3.76
72,Esperance,AU,2021-11-08 01:24:15,-33.8667,121.9,66.04,59,100,9.31
73,Cabo San Lucas,MX,2021-11-08 01:25:17,22.8909,-109.9124,80.62,65,10,7.07
74,Meulaboh,ID,2021-11-08 01:30:17,4.1363,96.1285,76.62,93,100,8.37
75,Kintampo,GH,2021-11-08 01:30:17,8.0563,-1.7306,75.43,72,95,3.94
76,Paita,PE,2021-11-08 01:30:18,-5.0892,-81.1144,64.53,84,19,13.96
77,Georgetown,MY,2021-11-08 01:20:58,5.4112,100.3354,80.89,89,20,1.01
78,Bluff,NZ,2021-11-08 01:25:21,-46.6,168.3333,60.13,64,84,2.42
79,Tulun,RU,2021-11-08 01:30:18,54.5611,100.5792,31.33,70,100,6.93
80,Tahta,EG,2021-11-08 01:30:18,26.7693,31.5021,64.72,38,0,5.68
81,Ponta Do Sol,PT,2021-11-08 01:30:18,32.6667,-17.1,66.83,65,14,7.25
82,Nikolskoye,RU,2021-11-08 01:26:31,59.7035,30.7861,37.87,98,100,8.03
83,Castro,BR,2021-11-08 01:26:41,-24.7911,-50.0119,59.43,98,73,6.96
84,Hobart,AU,2021-11-08 01:24:14,-42.8794,147.3294,62.06,49,75,1.01
85,Baherden,TM,2021-11-08 01:30:19,38.4362,57.4316,43.84,43,1,4.09
86,Medea,DZ,2021-11-08 01:30:19,36.2642,2.7539,45.05,89,100,4.97
87,Dingle,PH,2021-11-08 01:24:13,10.9995,122.6711,84.18,80,26,11.23
88,Severo-Kurilsk,RU,2021-11-08 01:30:20,50.6789,156.125,37.09,63,99,21.34
89,Kodiak,US,2021-11-08 01:26:36,57.79,-152.4072,35.11,64,75,16.11
90,Bubaque,GW,2021-11-08 01:30:20,11.2833,-15.8333,82.92,76,26,9.86
91,Souillac,MU,2021-11-08 01:26:38,-20.5167,57.5167,75.58,83,40,5.75
92,Sobolevo,RU,2021-11-08 01:30:21,54.4299,31.8996,40.33,95,100,14.5
93,Puerto Baquerizo Moreno,EC,2021-11-08 01:30:21,-0.9,-89.6,69.46,79,95,11.23
94,Sturgis,US,2021-11-08 01:31:21,41.7992,-85.4192,53.42,50,1,3.44
95,Sisimiut,GL,2021-11-08 01:31:22,66.9395,-53.6735,16.25,84,83,7.02
96,Laja,CL,2021-11-08 01:31:22,-37.2667,-72.7,56.19,70,8,4.72
97,Sabla,NG,2021-11-08 01:31:22,12.7525,4.7077,78.35,24,21,5.7
98,Escanaba,US,2021-11-08 01:31:22,45.7453,-87.0646,52.23,98,1,6.91
99,Arraial Do Cabo,BR,2021-11-08 01:26:30,-22.9661,-42.0278,70.57,74,60,6.87
100,Lotofaga,WS,2021-11-08 01:31:23,-13.9764,-171.8578,89.38,76,48,12.06
101,Hirara,JP,2021-11-08 01:31:23,24.8,125.2833,73.26,94,75,14.97
102,Tuljapur,IN,2021-11-08 01:31:23,18.0,76.0833,65.48,63,24,8.39
103,Luang Prabang,LA,2021-11-08 01:31:23,19.8856,102.1347,75.16,88,40,0.0
104,Ushuaia,AR,2021-11-08 01:20:53,-54.8,-68.3,42.46,70,40,10.36
105,Mahibadhoo,MV,2021-11-08 01:31:24,3.7833,72.9667,82.87,71,99,17.54
106,Martinsville,US,2021-11-08 01:27:12,36.6915,-79.8725,49.96,74,1,0.0
107,Yekepa,LR,2021-11-08 01:31:24,7.5753,-8.5419,68.4,95,66,2.04
108,Taltal,CL,2021-11-08 01:30:18,-25.4,-70.4833,63.32,68,0,3.71
109,Yellowknife,CA,2021-11-08 01:19:45,62.456,-114.3525,28.42,99,90,4.0
110,Barrow,US,2021-11-08 01:24:16,71.2906,-156.7887,26.62,63,90,10.36
111,Talnakh,RU,2021-11-08 01:31:24,69.4865,88.3972,17.8,96,100,7.16
112,Geraldton,AU,2021-11-08 01:31:14,-28.7667,114.6,72.01,53,75,10.36
113,Cherskiy,RU,2021-11-08 01:31:25,68.75,161.3,-0.17,100,91,4.74
114,Puerto Ayora,EC,2021-11-08 01:21:27,-0.7393,-90.3518,69.62,80,53,9.17
115,Biltine,TD,2021-11-08 01:31:25,14.5333,20.9167,76.28,16,0,5.77
116,Gizo,SB,2021-11-08 01:31:25,-8.103,156.8419,84.58,69,80,5.99
117,Constitucion,CL,2021-11-08 01:30:56,-35.3333,-72.4167,54.3,83,5,14.12
118,Baiyin,CN,2021-11-08 01:31:26,36.5583,104.2081,23.88,56,6,0.56
119,Aykhal,RU,2021-11-08 01:31:26,66.0,111.5,16.48,94,95,18.45
120,Saskylakh,RU,2021-11-08 01:24:10,71.9167,114.0833,11.84,94,100,9.8
121,Totness,SR,2021-11-08 01:31:26,5.8833,-56.3167,78.78,85,78,10.07
122,Miranda,CO,2021-11-08 01:31:27,3.2499,-76.2281,71.73,94,100,3.2
123,Tuktoyaktuk,CA,2021-11-08 01:31:27,69.4541,-133.0374,21.2,79,90,11.5
124,Kruisfontein,ZA,2021-11-08 01:31:27,-34.0033,24.7314,56.88,87,100,4.85
125,Rawson,AR,2021-11-08 01:26:38,-43.3002,-65.1023,59.52,59,100,7.23
126,Vila Franca Do Campo,PT,2021-11-08 01:31:27,37.7167,-25.4333,70.2,74,34,11.68
127,Jamestown,US,2021-11-08 01:20:19,42.097,-79.2353,49.64,76,1,1.99
128,Adrar,MR,2021-11-08 01:31:28,20.5022,-10.0711,69.4,26,100,6.31
129,Boyolangu,ID,2021-11-08 01:31:28,-8.1181,111.8935,80.55,78,100,3.11
130,Pankovka,RU,2021-11-08 01:31:28,58.5,31.1999,40.42,96,100,6.33
131,Faanui,PF,2021-11-08 01:31:29,-16.4833,-151.75,79.59,73,23,9.13
132,Buin,CL,2021-11-08 01:31:29,-33.7333,-70.75,71.74,60,0,1.45
133,Clarence Town,AU,2021-11-08 01:31:29,-32.5833,151.7833,74.61,53,22,6.42
134,Tasiilaq,GL,2021-11-08 01:31:30,65.6145,-37.6368,26.76,76,100,6.46
135,Tokur,RU,2021-11-08 01:31:30,53.1333,132.9,14.38,58,7,2.48
136,Victoria,HK,2021-11-08 01:24:29,22.2855,114.1577,67.32,78,93,1.99
137,Berbera,SO,2021-11-08 01:31:30,10.4396,45.0143,79.32,67,10,3.22
138,Arroyo,ES,2021-11-08 01:31:30,41.6096,-4.7969,43.14,90,40,4.61
139,Risti,EE,2021-11-08 01:31:31,58.9975,24.058,39.11,90,100,15.01
140,Ust-Nera,RU,2021-11-08 01:31:31,64.5667,143.2,-11.42,97,80,5.66
141,Mwinilunga,ZM,2021-11-08 01:31:31,-11.7358,24.4293,62.51,56,5,3.31
142,Khatanga,RU,2021-11-08 01:25:19,71.9667,102.5,14.45,93,98,13.89
143,Wum,CM,2021-11-08 01:32:32,6.3833,10.0667,64.8,92,98,3.6
144,Sucre,BO,2021-11-08 01:32:32,-19.0333,-65.2627,59.7,64,100,7.0
145,Chapada Dos Guimaraes,BR,2021-11-08 01:32:32,-15.4606,-55.7497,65.86,84,22,0.67
146,Bethel,US,2021-11-08 01:27:39,41.3712,-73.414,47.48,66,1,0.0
147,Gravdal,NO,2021-11-08 01:32:33,68.1214,13.5031,39.09,58,80,12.53
148,Port-Gentil,GA,2021-11-08 01:32:34,-0.7193,8.7815,78.66,85,100,10.76
149,New Norfolk,AU,2021-11-08 01:21:13,-42.7826,147.0587,61.72,44,10,4.0
150,Zabaykalsk,RU,2021-11-08 01:32:34,49.6333,117.3167,21.4,53,1,5.97
151,Cassilandia,BR,2021-11-08 01:32:34,-19.1133,-51.7342,74.48,77,62,3.62
